CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F215,
,,,,,Age : Age 16 and over - Qualifications gained [E][W] : No qualifications - Unit : Persons,
25514,E01006412,Knowsley 006A,Lower Super Output Areas and Data Zones,LSOADZ,557,
25515,E01006413,Knowsley 006B,Lower Super Output Areas and Data Zones,LSOADZ,596,
25516,E01006414,Knowsley 006C,Lower Super Output Areas and Data Zones,LSOADZ,531,
25517,E01006415,Knowsley 003A,Lower Super Output Areas and Data Zones,LSOADZ,578,
25518,E01006416,Knowsley 005A,Lower Super Output Areas and Data Zones,LSOADZ,538,
25519,E01006417,Knowsley 003B,Lower Super Output Areas and Data Zones,LSOADZ,548,
25520,E01006418,Knowsley 005B,Lower Super Output Areas and Data Zones,LSOADZ,491,
25521,E01006419,Knowsley 019A,Lower Super Output Areas and Data Zones,LSOADZ,190,
25522,E01006420,Knowsley 017A,Lower Super Output Areas and Data Zones,LSOADZ,253,
25523,E01006421,Knowsley 018A,Lower Super Output Areas and Data Zones,LSOADZ,128,
25524,E01006422,Knowsley 019B,Lower Super Output Areas and Data Zones,LSOADZ,290,
25525,E01006423,Knowsley 019C,Lower Super Output Areas and Data Zones,LSOADZ,179,
25526,E01006424,Knowsley 017B,Lower Super Output Areas and Data Zones,LSOADZ,315,
25527,E01006425,Knowsley 018B,Lower Super Output Areas and Data Zones,LSOADZ,294,
25528,E01006426,Knowsley 020A,Lower Super Output Areas and Data Zones,LSOADZ,434,
25529,E01006427,Knowsley 019D,Lower Super Output Areas and Data Zones,LSOADZ,384,
25530,E01006428,Knowsley 020B,Lower Super Output Areas and Data Zones,LSOADZ,407,
25531,E01006429,Knowsley 020C,Lower Super Output Areas and Data Zones,LSOADZ,360,
25532,E01006430,Knowsley 018C,Lower Super Output Areas and Data Zones,LSOADZ,541,
25533,E01006431,Knowsley 020D,Lower Super Output Areas and Data Zones,LSOADZ,397,
25534,E01006432,Knowsley 020E,Lower Super Output Areas and Data Zones,LSOADZ,473,
25535,E01006433,Knowsley 018D,Lower Super Output Areas and Data Zones,LSOADZ,412,
25536,E01006434,Knowsley 005C,Lower Super Output Areas and Data Zones,LSOADZ,484,
25537,E01006435,Knowsley 005D,Lower Super Output Areas and Data Zones,LSOADZ,529,
25538,E01006436,Knowsley 003C,Lower Super Output Areas and Data Zones,LSOADZ,541,
25539,E01006437,Knowsley 003D,Lower Super Output Areas and Data Zones,LSOADZ,512,
25540,E01006438,Knowsley 005E,Lower Super Output Areas and Data Zones,LSOADZ,293,
25541,E01006439,Knowsley 005F,Lower Super Output Areas and Data Zones,LSOADZ,442,
25542,E01006440,Knowsley 010A,Lower Super Output Areas and Data Zones,LSOADZ,463,
25543,E01006441,Knowsley 006D,Lower Super Output Areas and Data Zones,LSOADZ,700,
25544,E01006442,Knowsley 010B,Lower Super Output Areas and Data Zones,LSOADZ,493,
25545,E01006443,Knowsley 010C,Lower Super Output Areas and Data Zones,LSOADZ,563,
25546,E01006444,Knowsley 010D,Lower Super Output Areas and Data Zones,LSOADZ,516,
25547,E01006445,Knowsley 010E,Lower Super Output Areas and Data Zones,LSOADZ,431,
25548,E01006446,Knowsley 005G,Lower Super Output Areas and Data Zones,LSOADZ,466,
25549,E01006447,Knowsley 003E,Lower Super Output Areas and Data Zones,LSOADZ,476,
25550,E01006448,Knowsley 001A,Lower Super Output Areas and Data Zones,LSOADZ,656,
25551,E01006449,Knowsley 012A,Lower Super Output Areas and Data Zones,LSOADZ,477,
25552,E01006450,Knowsley 012B,Lower Super Output Areas and Data Zones,LSOADZ,480,
25553,E01006451,Knowsley 012C,Lower Super Output Areas and Data Zones,LSOADZ,385,
25554,E01006452,Knowsley 012D,Lower Super Output Areas and Data Zones,LSOADZ,378,
25555,E01006453,Knowsley 008A,Lower Super Output Areas and Data Zones,LSOADZ,396,
25556,E01006454,Knowsley 002A,Lower Super Output Areas and Data Zones,LSOADZ,384,
25557,E01006455,Knowsley 004A,Lower Super Output Areas and Data Zones,LSOADZ,584,
25558,E01006456,Knowsley 002B,Lower Super Output Areas and Data Zones,LSOADZ,431,
25559,E01006457,Knowsley 002C,Lower Super Output Areas and Data Zones,LSOADZ,437,
25560,E01006458,Knowsley 002D,Lower Super Output Areas and Data Zones,LSOADZ,520,
25561,E01006459,Knowsley 009A,Lower Super Output Areas and Data Zones,LSOADZ,349,
25562,E01006460,Knowsley 007A,Lower Super Output Areas and Data Zones,LSOADZ,519,
25563,E01006461,Knowsley 007B,Lower Super Output Areas and Data Zones,LSOADZ,485,
25564,E01006462,Knowsley 009B,Lower Super Output Areas and Data Zones,LSOADZ,315,
25565,E01006463,Knowsley 007C,Lower Super Output Areas and Data Zones,LSOADZ,519,
25566,E01006464,Knowsley 007D,Lower Super Output Areas and Data Zones,LSOADZ,476,
25567,E01006465,Knowsley 011A,Lower Super Output Areas and Data Zones,LSOADZ,281,
25568,E01006466,Knowsley 007E,Lower Super Output Areas and Data Zones,LSOADZ,374,
25569,E01006467,Knowsley 008B,Lower Super Output Areas and Data Zones,LSOADZ,470,
25570,E01006470,Knowsley 008E,Lower Super Output Areas and Data Zones,LSOADZ,547,
25571,E01006471,Knowsley 016A,Lower Super Output Areas and Data Zones,LSOADZ,270,
25572,E01006472,Knowsley 014A,Lower Super Output Areas and Data Zones,LSOADZ,300,
25573,E01006473,Knowsley 016B,Lower Super Output Areas and Data Zones,LSOADZ,213,
25574,E01006474,Knowsley 016C,Lower Super Output Areas and Data Zones,LSOADZ,354,
25575,E01006475,Knowsley 016D,Lower Super Output Areas and Data Zones,LSOADZ,399,
25576,E01006476,Knowsley 016E,Lower Super Output Areas and Data Zones,LSOADZ,237,
25577,E01006477,Knowsley 015A,Lower Super Output Areas and Data Zones,LSOADZ,386,
25578,E01006478,Knowsley 015B,Lower Super Output Areas and Data Zones,LSOADZ,461,
25579,E01006479,Knowsley 015C,Lower Super Output Areas and Data Zones,LSOADZ,397,
25580,E01006480,Knowsley 015D,Lower Super Output Areas and Data Zones,LSOADZ,511,
25581,E01006481,Knowsley 015E,Lower Super Output Areas and Data Zones,LSOADZ,489,
25582,E01006482,Knowsley 011B,Lower Super Output Areas and Data Zones,LSOADZ,408,
