CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F2384,
,,,,,Population (usual residents) : All usual residents - Unit : Persons,
25514,E01006412,Knowsley 006A,Lower Super Output Areas and Data Zones,LSOADZ,1457,
25515,E01006413,Knowsley 006B,Lower Super Output Areas and Data Zones,LSOADZ,1419,
25516,E01006414,Knowsley 006C,Lower Super Output Areas and Data Zones,LSOADZ,1366,
25517,E01006415,Knowsley 003A,Lower Super Output Areas and Data Zones,LSOADZ,2101,
25518,E01006416,Knowsley 005A,Lower Super Output Areas and Data Zones,LSOADZ,1451,
25519,E01006417,Knowsley 003B,Lower Super Output Areas and Data Zones,LSOADZ,1310,
25520,E01006418,Knowsley 005B,Lower Super Output Areas and Data Zones,LSOADZ,1357,
25521,E01006419,Knowsley 019A,Lower Super Output Areas and Data Zones,LSOADZ,1492,
25522,E01006420,Knowsley 017A,Lower Super Output Areas and Data Zones,LSOADZ,2066,
25523,E01006421,Knowsley 018A,Lower Super Output Areas and Data Zones,LSOADZ,1210,
25524,E01006422,Knowsley 019B,Lower Super Output Areas and Data Zones,LSOADZ,1269,
25525,E01006423,Knowsley 019C,Lower Super Output Areas and Data Zones,LSOADZ,1426,
25526,E01006424,Knowsley 017B,Lower Super Output Areas and Data Zones,LSOADZ,2070,
25527,E01006425,Knowsley 018B,Lower Super Output Areas and Data Zones,LSOADZ,1362,
25528,E01006426,Knowsley 020A,Lower Super Output Areas and Data Zones,LSOADZ,1230,
25529,E01006427,Knowsley 019D,Lower Super Output Areas and Data Zones,LSOADZ,1450,
25530,E01006428,Knowsley 020B,Lower Super Output Areas and Data Zones,LSOADZ,1511,
25531,E01006429,Knowsley 020C,Lower Super Output Areas and Data Zones,LSOADZ,1131,
25532,E01006430,Knowsley 018C,Lower Super Output Areas and Data Zones,LSOADZ,1332,
25533,E01006431,Knowsley 020D,Lower Super Output Areas and Data Zones,LSOADZ,1672,
25534,E01006432,Knowsley 020E,Lower Super Output Areas and Data Zones,LSOADZ,1526,
25535,E01006433,Knowsley 018D,Lower Super Output Areas and Data Zones,LSOADZ,1439,
25536,E01006434,Knowsley 005C,Lower Super Output Areas and Data Zones,LSOADZ,1521,
25537,E01006435,Knowsley 005D,Lower Super Output Areas and Data Zones,LSOADZ,1556,
25538,E01006436,Knowsley 003C,Lower Super Output Areas and Data Zones,LSOADZ,1466,
25539,E01006437,Knowsley 003D,Lower Super Output Areas and Data Zones,LSOADZ,1369,
25540,E01006438,Knowsley 005E,Lower Super Output Areas and Data Zones,LSOADZ,1200,
25541,E01006439,Knowsley 005F,Lower Super Output Areas and Data Zones,LSOADZ,1613,
25542,E01006440,Knowsley 010A,Lower Super Output Areas and Data Zones,LSOADZ,1454,
25543,E01006441,Knowsley 006D,Lower Super Output Areas and Data Zones,LSOADZ,2402,
25544,E01006442,Knowsley 010B,Lower Super Output Areas and Data Zones,LSOADZ,1272,
25545,E01006443,Knowsley 010C,Lower Super Output Areas and Data Zones,LSOADZ,1395,
25546,E01006444,Knowsley 010D,Lower Super Output Areas and Data Zones,LSOADZ,1383,
25547,E01006445,Knowsley 010E,Lower Super Output Areas and Data Zones,LSOADZ,1329,
25548,E01006446,Knowsley 005G,Lower Super Output Areas and Data Zones,LSOADZ,1364,
25549,E01006447,Knowsley 003E,Lower Super Output Areas and Data Zones,LSOADZ,1357,
25550,E01006448,Knowsley 001A,Lower Super Output Areas and Data Zones,LSOADZ,1677,
25551,E01006449,Knowsley 012A,Lower Super Output Areas and Data Zones,LSOADZ,1504,
25552,E01006450,Knowsley 012B,Lower Super Output Areas and Data Zones,LSOADZ,1422,
25553,E01006451,Knowsley 012C,Lower Super Output Areas and Data Zones,LSOADZ,1481,
25554,E01006452,Knowsley 012D,Lower Super Output Areas and Data Zones,LSOADZ,1528,
25555,E01006453,Knowsley 008A,Lower Super Output Areas and Data Zones,LSOADZ,1223,
25556,E01006454,Knowsley 002A,Lower Super Output Areas and Data Zones,LSOADZ,1222,
25557,E01006455,Knowsley 004A,Lower Super Output Areas and Data Zones,LSOADZ,1694,
25558,E01006456,Knowsley 002B,Lower Super Output Areas and Data Zones,LSOADZ,1595,
25559,E01006457,Knowsley 002C,Lower Super Output Areas and Data Zones,LSOADZ,1188,
25560,E01006458,Knowsley 002D,Lower Super Output Areas and Data Zones,LSOADZ,1413,
25561,E01006459,Knowsley 009A,Lower Super Output Areas and Data Zones,LSOADZ,1612,
25562,E01006460,Knowsley 007A,Lower Super Output Areas and Data Zones,LSOADZ,1576,
25563,E01006461,Knowsley 007B,Lower Super Output Areas and Data Zones,LSOADZ,1590,
25564,E01006462,Knowsley 009B,Lower Super Output Areas and Data Zones,LSOADZ,1514,
25565,E01006463,Knowsley 007C,Lower Super Output Areas and Data Zones,LSOADZ,1868,
25566,E01006464,Knowsley 007D,Lower Super Output Areas and Data Zones,LSOADZ,1617,
25567,E01006465,Knowsley 011A,Lower Super Output Areas and Data Zones,LSOADZ,1686,
25568,E01006466,Knowsley 007E,Lower Super Output Areas and Data Zones,LSOADZ,1549,
25569,E01006467,Knowsley 008B,Lower Super Output Areas and Data Zones,LSOADZ,1275,
25570,E01006470,Knowsley 008E,Lower Super Output Areas and Data Zones,LSOADZ,1375,
25571,E01006471,Knowsley 016A,Lower Super Output Areas and Data Zones,LSOADZ,1487,
25572,E01006472,Knowsley 014A,Lower Super Output Areas and Data Zones,LSOADZ,1565,
25573,E01006473,Knowsley 016B,Lower Super Output Areas and Data Zones,LSOADZ,1248,
25574,E01006474,Knowsley 016C,Lower Super Output Areas and Data Zones,LSOADZ,1483,
25575,E01006475,Knowsley 016D,Lower Super Output Areas and Data Zones,LSOADZ,1526,
25576,E01006476,Knowsley 016E,Lower Super Output Areas and Data Zones,LSOADZ,1428,
25577,E01006477,Knowsley 015A,Lower Super Output Areas and Data Zones,LSOADZ,1386,
